"path","bytes","sha256"
".gitignore","488","bc28bd1c35182199e41bba7c547ef676aae649138d22ca65db63b044b0990600"
"CITATION.cff","453","8bbf15b5c19170d340c6a6cd9e288aa1946caad7ffdf3133c6647e1d9777b551"
"configs/experiment_settings.yaml","701","105523ac7ffdefec44f38f2418f2b00f61f4fd358b2d0d1c755d990246134a97"
"data/download_data.py","1391","d93f3388f646eee04756cd6981e894c8ecca6792d4c99b9ef641ccd4050a0c2a"
"data/plot_data.py","1155","7358139ae20b9b4babd8c51fc97eabe3d0635b16e7263cc15bd28b9395873492"
"data/prepare_data.py","2159","fbeac10e93ca4ec87d3ac9f6570dc2dd229189c574c463997b4f90c621c72188"
"data/README.md","1485","f1500d3901068ac6d85b06742114452b8860ea44d590f24743ad5234c5add8d2"
"docs/FINAL_GITHUB_AUDIT.md","20085","7a40779a44f4f5253f407806ccddd80607fc4634be5ca8a83ab5ed31f641c29e"
"docs/METHOD_ADAPTATIONS.md","8906","6af698ac73448609d6866bcb6cb1b54b54e05cab49302c9dd914e11eae597960"
"docs/METHOD_FIDELITY_AND_PROTOCOL.md","6518","247ada0515f4713336669fdb042056e889db999d544d5dc52034cb9357c0c8da"
"docs/RELEASE_VALIDATION.md","1259","b5cadce08868ba78d3a2975619afe05a6d7324acfa7fea3ac37e3ee9375ab8c1"
"inference/predict.py","1352","b832019a1285fe7bbb302301a5b6f1847f7baa1fdf2b02e29efee75af226ddb9"
"models/__init__.py","176","9cb2f1226e5815353e43833e16eac7858ae12c2be5468535704b4b10f4476f97"
"models/backbone.py","2793","d28936e6142729e438f53152f5f081b84f4bf5e697c73307b77acc1bf1bd86b7"
"models/benchmark_models.py","332","c87b1d0d9a001360c75c0480209b7b52cb51be070fb70ad6265dfcd64e5f67f3"
"models/feature_extractor.py","1814","b27cf5d39bf76a71e92da1fe4edac36be810aa7f48fade1483195cf134111b85"
"models/hmdf_knn.py","14657","eac8ed622b927ea82a0ac1eb1d2ed9915c592c589b6d222600c06b36637b016b"
"notebooks/advanced/REPAIR_MISSING_AND_EXTRACT_EMBEDDINGS_COLAB.ipynb","6388","2123e8451da41fa86bfb37d3f0067728a1fd664011832f4a6b737f3f64707291"
"notebooks/advanced/RUN_FULL_FINETUNING_ALL_MODELS_COLAB.ipynb","9885","ba8580d642af8512073825bbe20061528a655dc2cce936b8324a19130944a5fc"
"notebooks/HMDF_kNN_friendly_walkthrough.ipynb","42940","f42c168e7e4e1c9f1c26de08db7d10f93242bb09dd7170f1507aced90e62d0cf"
"paper/01-introduction.tex","10573","95a5d04d953770eec054aed956f7540346ce358c7940e85f439632de30529dc7"
"paper/02-related-work.tex","9080","849e43d2e75959f7942253fdd8132ac3a6ca4fb6eb6f2c6fb95bf2e4ee30cba5"
"paper/03-proposed-method.tex","16417","5584d6f87c63b7743aac27449806078d5c88f2ffe8da939eb0d8475fccacdb49"
"paper/04-experimental-protocol.tex","3174","fabde8eb95fa7ea721ae8318dad62eb3c90a7b70d19ed8f56a4454a0eb1600fd"
"paper/05-results.tex","7621","3a294fdcaaae052cf4f9a167e68bb63dfd2256effc4ebbb87bfe714d11d1055e"
"paper/06-discussion.tex","3850","6e7dc93544c4f6c62416919feed8bb522dfe27126ec35dcb645b8fe9791f3cb7"
"paper/07-conclusion.tex","1476","3bb557989f263774b6c5529822935b6b8d00f19b82d568506b54adb76dc1b866"
"paper/Bibliography.bib","15501","eda42fda0993cb900c61903121792800654819eddf2c72c6b39a76fc5dd3d288"
"paper/figures/fig01_method_pipeline.png","1401722","9d5b1d0fa8e991256b6670293ecc5970ec0bb43e1e5089b6b59f09951ba9d8ab"
"paper/figures/fig02_internal_layer_diagnostics.png","179275","cef2c573803e1e2c70fe54181023aeaa361bed34133fbec05dcb46ae25a07cea"
"paper/figures/fig03_selected_configuration.png","119277","69fd319a34b8a2afada75f4647ceabe31a12a6d4c9310c576036f38c5e3359de"
"paper/figures/fig04_block_macro_f1.png","101087","abe7e7768057b9787fc7fa8422b633e5cb614e20bc9807c835f034f07b1ad8ec"
"paper/HMDF-kNN_paper.pdf","1332573","5d3c176736ec87347d5b67a47e89d7107c3fe54aab75c100aae6b0ae0c4599e9"
"paper/IEEEabrv.bib","17393","86146dc10ad30ab94bdf7c630d0b17d969ff728c62aeedd306f09026bee941d0"
"paper/IEEEtran.bst","56877","8c9f4c490a75e15f25ea52ea494e1130fbb6ac0c4d3877f486c98e4085c4a319"
"paper/IEEEtran.cls","201353","d63d4bf27f29603a733d06e27ba5fbb40488acf9d1d696354a88b886758f70a7"
"paper/main.tex","3815","a5fbc91860157dec114c3928ad53269353e1e3ba80b0585af3126222c8ea924e"
"paper/supplementary/context_robustness.tex","2429","63a116e049dc9b3329d4cf941287377aeae9708c94d504e0afbfc030842fc412"
"paper/supplementary/HMDF-kNN_supplement.pdf","148727","403cc2ca5872b3237435450fba2f0676f40ff39ca583138c07d51e400187c87f"
"paper/tables/table_ablation_summary.tex","1326","11bfb000e6098e6d6852926b0eb6b254278964b8597a2c4d46d2d9d2d9319699"
"paper/tables/table_complete_methods.tex","2443","7d7e7929738a12242d1bbb54194336f63e9b6be4f880f0e8535ee503e16af284"
"paper/tables/table_datasets.tex","963","ea9794020d07249fdc02d96d7a659b81c3448ac1235dbce99ee7c2566fe4e057"
"paper/tables/table_method_groups.tex","1302","ae262222b59b622ecb3899ab6ae82749c4cee9fdb168024879fdc61c950a0ab9"
"pipelines/audit_hmdf_github_readiness.py","31121","1abc021725a086c8b4d5f381d4c217928dbbd03ef71155e8ac3eef36b952e6da"
"pipelines/build_result_matrices_for_paper.py","48836","df5a6fd66ef74659e303dc0e10b7208dadc708fbd53cae3ac3cbf468979488cd"
"pipelines/extract_full_finetuned_embeddings.py","16525","4337ce10535056efe6996a113a214586cd1eeae4d38372e25d3d022c1ee8ca94"
"pipelines/full_finetune_colab.py","28408","06d845118c13bfefde34f0a4e8d86b9b28c4b71aa6f6944b6531fcb3a6da5550"
"pipelines/prepare_hmdf_results_section.py","66971","edeecc767a31b4b7ee006a2bb50a7be50c71c36bedee66f7cb9cd04871083312"
"pipelines/run_hmdf.py","2859","db9ffc98decee95b1de0788fd5b6a8990ded3f627912c5f03a30ac1572497137"
"pipelines/run_raw_literature_multidim_competitors.py","43793","7beaf92f1348255a2c98ed93636f3c18631d229ccb46d2a20375a63c7d0bf444"
"README.md","5600","00b96f016bf6edc955026878638b8a84b097f6b671d38f1d4af83f94ed5d7eb2"
"requirements.txt","181","afc4ecb0822f3f14fa65c58be31b84a67f4929e40ffba478c8c7f7313a39b09c"
"requirements-gpu.txt","54","28ef8e09a29417d490ef77c47b80a3a5cd110876270da96b0587f5b3d94b6c66"
"results/figures/fig01_method_pipeline.png","1401722","9d5b1d0fa8e991256b6670293ecc5970ec0bb43e1e5089b6b59f09951ba9d8ab"
"results/figures/fig02_internal_layer_diagnostics.png","179275","cef2c573803e1e2c70fe54181023aeaa361bed34133fbec05dcb46ae25a07cea"
"results/figures/fig03_selected_configuration.png","119277","69fd319a34b8a2afada75f4647ceabe31a12a6d4c9310c576036f38c5e3359de"
"results/figures/fig04_block_macro_f1.png","101087","abe7e7768057b9787fc7fa8422b633e5cb614e20bc9807c835f034f07b1ad8ec"
"results/metrics/ablation_summary_real_for_paper.csv","2518","8e1740fd198d2dce88278f79950ec6f2371ecc434ada7f0f71fd849e3a8d8828"
"results/metrics/block_comparison.csv","2356","7ac50d6d8dc5217cf39e73e56e4686b1af644c5497bdf3a897ffd0191c955355"
"results/metrics/complete_method_comparison.csv","4121","ca911c127157405d27849b801d5816bfa803b6c314ed3fef4e3b52f2d63f51b2"
"results/metrics/context_outcome_summary.csv","271","7251e88747a20b2ec18e52516e1f26bc2bba3e3050995f18498927b501174af1"
"results/metrics/dataset_audit.csv","8170","45903f30a6ea430c57747048a217d68c64ee9e2e1797a489aa110f6936947e93"
"results/metrics/dataset_level_summary.csv","1323","32677a3f6eb1bf06042f073bdfbca545d28493d2e718e8b1da76d82c0077c0d3"
"results/metrics/delta_vs_best_nonproposed_by_context.csv","10652","f991796d5fc291b82f53612283070e1bd7c46336e0a83b6356cd2aab814248d6"
"results/metrics/internal_layer_depth_diagnostics.csv","19952","490a364e9d14bad08ae89b3de2f2ed59ba22bea7fc65305b4f138326d9ae7c0f"
"results/metrics/publication_package_run_config.json","812","fbc21e41ecccf578ae77d382ddc419c4577fe69797fe46fc161a6fa0baebbe4f"
"results/metrics/results_section_statistical_protocol.md","1853","bd3a352b2fa7073801defefaa360638b7533df7f612d2cb2e4611f39c6e3e793"
"results/metrics/selected_layer_depth_counts.csv","69","b841717bbeed297d594056238b35879561aee472350f2eb8d5b5974a110e9137"
"results/metrics/winning_context_per_class.csv","796","f465b7dbeab14465ee83eac4998ea75f8e0651f5bb42fd8b0e5024ac73cb2363"
"results/tables/table_ablation_summary.tex","1326","11bfb000e6098e6d6852926b0eb6b254278964b8597a2c4d46d2d9d2d9319699"
"results/tables/table_complete_methods.tex","2443","7d7e7929738a12242d1bbb54194336f63e9b6be4f880f0e8535ee503e16af284"
"results/tables/table_datasets.tex","963","ea9794020d07249fdc02d96d7a659b81c3448ac1235dbce99ee7c2566fe4e057"
"results/tables/table_method_groups.tex","1302","ae262222b59b622ecb3899ab6ae82749c4cee9fdb168024879fdc61c950a0ab9"
"src/__init__.py","43","a21882bc70fba47103406ea6391a05f624ccb5330ce31d3ed180c53764d9c0f8"
"src/multidataset_benchmark.py","47865","583f54e3376f4062c88fc6a66768e0670fa9a253760dee8489a3a48086dac777"
"src/posthoc_prototype_competitors.py","10989","d2b81105ef5a49884d98a233910875d5d1a16acfcd1eaa15be08da1782ae4234"
"src/raw_multiview_competitors.py","45791","38496f1bdbc091f6990aae4acf21223e19b096d8a5715f035524d119154c161c"
